,day,price
501,2019-03-08,65.66
502,2019-03-11,65.06
503,2019-03-12,65.33
504,2019-03-13,65.89
505,2019-03-14,66.18
506,2019-03-15,66.11
507,2019-03-18,66.65
508,2019-03-19,67.13
509,2019-03-20,68.35
510,2019-03-21,68.3
511,2019-03-22,66.29
512,2019-03-25,67.37
513,2019-03-26,67.51
514,2019-03-27,67.35
515,2019-03-28,66.08
516,2019-03-29,67.93
517,2019-04-01,69.08
518,2019-04-02,69.68
519,2019-04-03,69.21
520,2019-04-04,69.8
521,2019-04-05,69.93
522,2019-04-08,71.12
523,2019-04-09,71.02
524,2019-04-10,71.63
525,2019-04-11,71.3
526,2019-04-12,71.57
527,2019-04-15,70.9
528,2019-04-16,70.74
529,2019-04-17,71.14
530,2019-04-18,70.71
531,2019-04-19,.
532,2019-04-22,70.71
533,2019-04-23,74.39
534,2019-04-24,73.59
535,2019-04-25,74.94
536,2019-04-26,71.03
537,2019-04-29,71.22
538,2019-04-30,72.19
539,2019-05-01,72.01
540,2019-05-02,70.56
541,2019-05-03,71.95
542,2019-05-06,71.95
543,2019-05-07,70.98
544,2019-05-08,71.09
545,2019-05-09,70.61
546,2019-05-10,71.63
547,2019-05-13,72.35
548,2019-05-14,72.53
549,2019-05-15,73.09
550,2019-05-16,74.7
551,2019-05-17,73.94
552,2019-05-20,73.21
553,2019-05-21,72.94
554,2019-05-22,71.94
555,2019-05-23,68.37
556,2019-05-24,67.98
557,2019-05-27,.
558,2019-05-28,70.19
559,2019-05-29,70.64
560,2019-05-30,69.55
561,2019-05-31,66.78
562,2019-06-03,63.16
563,2019-06-04,63.56
564,2019-06-05,62.14
565,2019-06-06,62.77
566,2019-06-07,64.1
567,2019-06-10,64.31
568,2019-06-11,63.56
569,2019-06-12,61.66
570,2019-06-13,63.28
571,2019-06-14,63.13
572,2019-06-17,62.56
573,2019-06-18,63.35
574,2019-06-19,62.85
575,2019-06-20,65.44
576,2019-06-21,65.99
577,2019-06-24,65.16
578,2019-06-25,66.24
579,2019-06-26,66.85
580,2019-06-27,66.78
581,2019-06-28,67.52
582,2019-07-01,65.1
583,2019-07-02,62.72
584,2019-07-03,63.53
585,2019-07-04,63.62
586,2019-07-05,64.23
587,2019-07-08,64.89
588,2019-07-09,64.3
589,2019-07-10,66.41
590,2019-07-11,67.64
591,2019-07-12,66.65
592,2019-07-15,66.86
593,2019-07-16,65.87
594,2019-07-17,63.67
595,2019-07-18,60.7
596,2019-07-19,61.04
597,2019-07-22,61.96
598,2019-07-23,62.28
599,2019-07-24,63.83
600,2019-07-25,63.47
601,2019-07-26,62.46
602,2019-07-29,62.29
603,2019-07-30,62.55
604,2019-07-31,64.07
605,2019-08-01,62.9
606,2019-08-02,61.12
607,2019-08-05,59.32
608,2019-08-06,58.63
609,2019-08-07,55.03
610,2019-08-08,56.29
611,2019-08-09,57.37
612,2019-08-12,57.13
613,2019-08-13,59.9
614,2019-08-14,57.86
615,2019-08-15,57.37
616,2019-08-16,59.0
617,2019-08-19,59.79
618,2019-08-20,59.03
619,2019-08-21,60.6
620,2019-08-22,59.81
621,2019-08-23,58.64
622,2019-08-26,58.64
623,2019-08-27,58.44
624,2019-08-28,60.42
625,2019-08-29,60.59
626,2019-08-30,61.04
627,2019-09-02,58.55
628,2019-09-03,57.93
629,2019-09-04,60.68
630,2019-09-05,62.7
631,2019-09-06,61.28
632,2019-09-09,63.99
633,2019-09-10,64.67
634,2019-09-11,63.02
635,2019-09-12,60.76
636,2019-09-13,61.25
637,2019-09-16,68.42
638,2019-09-17,65.59
639,2019-09-18,64.29
640,2019-09-19,64.25
641,2019-09-20,65.23
642,2019-09-23,64.66
643,2019-09-24,64.13
644,2019-09-25,62.41
645,2019-09-26,62.08
646,2019-09-27,62.48
647,2019-09-30,60.99
648,2019-10-01,60.06
649,2019-10-02,57.92
650,2019-10-03,58.01
651,2019-10-04,59.13
652,2019-10-07,59.46
653,2019-10-08,58.14
654,2019-10-09,59.7
655,2019-10-10,59.08
656,2019-10-11,60.59
657,2019-10-14,58.81
658,2019-10-15,59.19
659,2019-10-16,59.3
660,2019-10-17,59.35
661,2019-10-18,59.96
662,2019-10-21,58.95
663,2019-10-22,60.5
664,2019-10-23,60.52
665,2019-10-24,61.71
666,2019-10-25,62.06
667,2019-10-28,60.39
668,2019-10-29,61.05
669,2019-10-30,60.22
670,2019-10-31,59.3
671,2019-11-01,60.17
672,2019-11-04,62.52
673,2019-11-05,62.72
674,2019-11-06,62.11
675,2019-11-07,62.6
676,2019-11-08,62.0
677,2019-11-11,62.58
678,2019-11-12,62.19
679,2019-11-13,62.27
680,2019-11-14,62.46
681,2019-11-15,63.32
682,2019-11-18,62.82
683,2019-11-19,62.37
684,2019-11-20,63.8
685,2019-11-21,64.99
686,2019-11-22,64.83
687,2019-11-25,64.67
688,2019-11-26,64.82
689,2019-11-27,65.03
690,2019-11-28,64.68
691,2019-11-29,64.5
692,2019-12-02,63.2
693,2019-12-03,62.95
694,2019-12-04,65.25
695,2019-12-05,65.67
696,2019-12-06,66.5
697,2019-12-09,66.44
698,2019-12-10,66.57
699,2019-12-11,65.37
700,2019-12-12,66.67
