,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
397,2018-01-17 13:00:00,75.2,315,378
398,2018-01-17 14:00:00,78.4,315,378
399,2018-01-17 15:00:00,75.2,315,378
400,2018-01-17 16:00:00,78.4,315,378
401,2018-01-17 17:00:00,84.8,315,378
402,2018-01-17 18:00:00,94.4,315,378
403,2018-01-17 19:00:00,97.6,315,378
404,2018-01-17 20:00:00,104.0,315,378
405,2018-01-17 21:00:00,94.4,315,378
406,2018-01-17 22:00:00,86.4,315,378
407,2018-01-17 23:00:00,76.8,315,378
408,2018-01-18 00:00:00,75.2,315,378
409,2018-01-18 01:00:00,72.0,315,378
410,2018-01-18 02:00:00,73.6,315,378
411,2018-01-18 03:00:00,70.4,315,378
412,2018-01-18 04:00:00,73.6,315,378
413,2018-01-18 05:00:00,73.6,315,378
414,2018-01-18 06:00:00,76.8,315,378
415,2018-01-18 07:00:00,81.6,315,378
416,2018-01-18 08:00:00,83.2,315,378
417,2018-01-18 09:00:00,84.8,315,378
418,2018-01-18 10:00:00,80.0,315,378
419,2018-01-18 11:00:00,81.6,315,378
420,2018-01-18 12:00:00,76.8,315,378
421,2018-01-18 13:00:00,73.6,315,378
422,2018-01-18 14:00:00,72.0,315,378
423,2018-01-18 15:00:00,76.8,315,378
424,2018-01-18 16:00:00,78.4,315,378
425,2018-01-18 17:00:00,84.8,315,378
426,2018-01-18 18:00:00,83.2,315,378
427,2018-01-18 19:00:00,89.6,315,378
428,2018-01-18 20:00:00,88.0,315,378
429,2018-01-18 21:00:00,88.0,315,378
430,2018-01-18 22:00:00,80.0,315,378
431,2018-01-18 23:00:00,81.6,315,378
432,2018-01-19 00:00:00,76.8,315,378
433,2018-01-19 01:00:00,72.0,315,378
434,2018-01-19 02:00:00,70.4,315,378
435,2018-01-19 03:00:00,67.2,315,378
436,2018-01-19 04:00:00,65.6,315,378
437,2018-01-19 05:00:00,67.2,315,378
438,2018-01-19 06:00:00,72.0,315,378
439,2018-01-19 07:00:00,70.4,315,378
440,2018-01-19 08:00:00,68.8,315,378
441,2018-01-19 09:00:00,75.2,315,378
442,2018-01-19 10:00:00,76.8,315,378
443,2018-01-19 11:00:00,73.6,315,378
444,2018-01-19 12:00:00,70.4,315,378
445,2018-01-19 13:00:00,65.6,315,378
446,2018-01-19 14:00:00,68.8,315,378
447,2018-01-19 15:00:00,70.4,315,378
448,2018-01-19 16:00:00,76.8,315,378
449,2018-01-19 17:00:00,73.6,315,378
450,2018-01-19 18:00:00,73.6,315,378
451,2018-01-19 19:00:00,73.6,315,378
452,2018-01-19 20:00:00,94.4,315,378
453,2018-01-19 21:00:00,89.6,315,378
454,2018-01-19 22:00:00,80.0,315,378
455,2018-01-19 23:00:00,72.0,315,378
456,2018-01-20 00:00:00,67.2,315,378
457,2018-01-20 01:00:00,70.4,315,378
458,2018-01-20 02:00:00,65.6,315,378
459,2018-01-20 03:00:00,64.0,315,378
460,2018-01-20 04:00:00,68.8,315,378
461,2018-01-20 05:00:00,68.8,315,378
462,2018-01-20 06:00:00,70.4,315,378
463,2018-01-20 07:00:00,72.0,315,378
464,2018-01-20 08:00:00,68.8,315,378
465,2018-01-20 09:00:00,65.6,315,378
466,2018-01-20 10:00:00,68.8,315,378
467,2018-01-20 11:00:00,72.0,315,378
468,2018-01-20 12:00:00,76.8,315,378
469,2018-01-20 13:00:00,73.6,315,378
470,2018-01-20 14:00:00,72.0,315,378
471,2018-01-20 15:00:00,75.2,315,378
472,2018-01-20 16:00:00,72.0,315,378
473,2018-01-20 17:00:00,78.4,315,378
474,2018-01-20 18:00:00,83.2,315,378
475,2018-01-20 19:00:00,78.4,315,378
476,2018-01-20 20:00:00,81.6,315,378
477,2018-01-20 21:00:00,78.4,315,378
478,2018-01-20 22:00:00,72.0,315,378
479,2018-01-20 23:00:00,70.4,315,378
480,2018-01-21 00:00:00,72.0,315,378
481,2018-01-21 01:00:00,73.6,315,378
482,2018-01-21 02:00:00,70.4,315,378
483,2018-01-21 03:00:00,67.2,315,378
484,2018-01-21 04:00:00,68.8,315,378
485,2018-01-21 05:00:00,68.8,315,378
486,2018-01-21 06:00:00,72.0,315,378
487,2018-01-21 07:00:00,72.0,315,378
488,2018-01-21 08:00:00,70.4,315,378
489,2018-01-21 09:00:00,73.6,315,378
490,2018-01-21 10:00:00,75.2,315,378
491,2018-01-21 11:00:00,70.4,315,378
492,2018-01-21 12:00:00,75.2,315,378
493,2018-01-21 13:00:00,72.0,315,378
494,2018-01-21 14:00:00,75.2,315,378
495,2018-01-21 15:00:00,70.4,315,378
496,2018-01-21 16:00:00,78.4,315,378
497,2018-01-21 17:00:00,80.0,315,378
498,2018-01-21 18:00:00,86.4,315,378
499,2018-01-21 19:00:00,76.8,315,378
500,2018-01-21 20:00:00,75.2,315,378
