,price_oil,price_el
2019-09-22,585.08044,293.33374
2019-09-23,585.6062,305.9525
2019-09-24,579.82495,319.43457
2019-09-25,563.113,317.96875
2019-09-26,562.24615,317.64624
2019-09-27,567.9807,322.59332
2019-09-28,567.9807,304.47958
2019-09-29,567.9807,308.0075
2019-09-30,553.838,323.88
2019-10-01,548.9364,336.22958
2019-10-02,529.0702,348.59918
2019-10-03,530.36804,356.8246
2019-10-04,539.19464,368.80084
2019-10-05,539.19464,359.86584
2019-10-06,539.19464,355.175
2019-10-07,541.532,408.06833
2019-10-08,530.5275,375.12418
2019-10-09,547.54456,380.70792
2019-10-10,540.068,357.61874
2019-10-11,551.32056,340.1446
2019-10-12,551.32056,338.045
2019-10-13,551.32056,344.66916
2019-10-14,535.2827,345.91
2019-10-15,539.35706,354.18167
2019-10-16,542.7017,359.69083
2019-10-17,546.2396,363.35333
2019-10-18,550.5587,374.94125
2019-10-19,550.5587,364.06876
2019-10-20,550.5587,378.0871
2019-10-21,539.9997,393.11957
2019-10-22,552.6191,387.0704
2019-10-23,555.973,386.4271
2019-10-24,563.005,376.08667
2019-10-25,566.887,367.80667
2019-10-26,566.887,370.9754
2019-10-27,566.887,382.27542
2019-10-28,555.2981,405.67
2019-10-29,562.83215,406.2071
2019-10-30,555.3368,412.2579
2019-10-31,543.4133,402.305
2019-11-01,552.45087,388.48874
2019-11-02,552.45087,383.71292
2019-11-03,552.45087,389.8
2019-11-04,567.51904,414.255
2019-11-05,571.75555,435.23502
2019-11-06,571.4741,536.1583
2019-11-07,572.3643,461.2021
2019-11-08,565.6198,470.45667
2019-11-09,565.6198,421.89667
2019-11-10,565.6198,426.63666
2019-11-11,572.9825,439.1604
2019-11-12,568.00616,426.9646
2019-11-13,572.09314,464.63873
2019-11-14,573.93243,466.52042
2019-11-15,579.4223,416.94876
2019-11-16,579.4223,407.40793
2019-11-17,579.4223,410.1379
2019-11-18,570.8893,421.78543
2019-11-19,569.5067,410.48834
2019-11-20,585.5245,445.19833
2019-11-21,594.35956,422.12543
2019-11-22,592.52026,408.0896
2019-11-23,592.52026,387.5375
2019-11-24,592.52026,396.28043
2019-11-25,591.49774,428.87875
2019-11-26,594.9828,450.755
2019-11-27,597.9118,425.16
2019-11-28,593.52954,412.78458
2019-11-29,592.27124,420.62708
2019-11-30,592.27124,422.12958
2019-12-01,592.27124,418.47708
2019-12-02,582.70404,443.75043
2019-12-03,576.54016,456.4475
2019-12-04,600.88074,417.92084
2019-12-05,600.9396,401.90332
2019-12-06,607.4243,384.7446
2019-12-07,607.4243,379.3871
2019-12-08,607.4243,380.12167
2019-12-09,607.6004,389.68793
2019-12-10,608.96906,420.14
2019-12-11,599.88086,390.7275
2019-12-12,607.3304,394.69083
2019-12-13,610.11615,378.46542
2019-12-14,610.11615,370.77292
2019-12-15,610.11615,366.43918
2019-12-16,613.5439,398.0896
2019-12-17,623.3729,388.0496
2019-12-18,624.6374,390.17667
2019-12-19,627.1327,376.74875
2019-12-20,617.1229,368.13
2019-12-21,617.1229,358.77084
2019-12-22,617.1229,366.72583
2019-12-23,606.55963,366.80417
2019-12-24,622.46735,363.03418
2019-12-25,622.46735,356.04376
2019-12-26,622.46735,363.3871
2019-12-27,612.1344,374.04376
2019-12-28,612.1344,343.9625
2019-12-29,612.1344,330.18918
2019-12-30,601.8528,333.1396
2019-12-31,597.5688,324.17084
2020-01-01,597.5688,305.1396
2020-01-02,588.7057,302.76416
2020-01-03,609.16125,287.76334
2020-01-04,609.16125,284.25333
