,price_in_nok
2018-10-27,646.8008251190186
2018-10-28,646.8008251190186
2018-10-29,648.0913558578492
2018-10-30,634.3875769042969
2018-10-31,629.1499438858033
2018-11-01,597.0322680473328
2018-11-02,591.9480803108215
2018-11-03,591.9480803108215
2018-11-04,591.9480803108215
2018-11-05,608.447898979187
2018-11-06,590.4868481445312
2018-11-07,584.7391697883605
2018-11-08,577.2065099430084
2018-11-09,581.6646178531647
2018-11-10,581.6646178531647
2018-11-11,581.6646178531647
2018-11-12,591.6746624565125
2018-11-13,557.0514829158783
2018-11-14,551.142598953247
2018-11-15,556.5040430259704
2018-11-16,553.1956665039063
2018-11-17,553.1956665039063
2018-11-18,553.1956665039063
2018-11-19,541.4377914047242
2018-11-20,520.2715272903442
2018-11-21,527.7116791248321
2018-11-22,521.47604845047
2018-11-23,492.1245687675476
2018-11-24,492.1245687675476
2018-11-25,492.1245687675476
2018-11-26,511.4499232292176
2018-11-27,512.5667213630676
2018-11-28,498.9129811096191
2018-11-29,497.61587574005125
2018-11-30,493.4955258178711
2018-12-01,493.4955258178711
2018-12-02,493.4955258178711
2018-12-03,512.3957146453857
2018-12-04,520.4067234992981
2018-12-05,524.3437009811402
2018-12-06,493.6657936763763
2018-12-07,526.262872467041
2018-12-08,526.262872467041
2018-12-09,526.262872467041
2018-12-10,509.9991251087189
2018-12-11,510.2972706985473
2018-12-12,514.1773283958435
2018-12-13,505.1669512939453
2018-12-14,502.8313137817383
2018-12-15,502.8313137817383
2018-12-16,502.8313137817383
2018-12-17,495.7577758598328
2018-12-18,478.3637159156799
2018-12-19,484.0480506896973
2018-12-20,459.88239715576174
2018-12-21,449.22568050384524
2018-12-22,449.22568050384524
2018-12-23,449.22568050384524
2018-12-24,449.22568050384524
2018-12-25,449.22568050384524
2018-12-26,449.22568050384524
2018-12-27,451.26351284980774
2018-12-28,442.95274886131284
2018-12-29,442.95274886131284
2018-12-30,442.95274886131284
2018-12-31,439.50893309593204
2019-01-01,439.50893309593204
2019-01-02,468.013637752533
2019-01-03,465.09713515281675
2019-01-04,481.5697566986084
2019-01-05,481.5697566986084
2019-01-06,481.5697566986084
2019-01-07,489.9237133979797
2019-01-08,486.47239783287046
2019-01-09,507.12840270996094
2019-01-10,512.8037379550934
2019-01-11,501.2000059890747
2019-01-12,501.2000059890747
2019-01-13,501.2000059890747
2019-01-14,502.95169830322266
2019-01-15,500.9296714782715
2019-01-16,510.9747535610199
2019-01-17,512.6631128311158
2019-01-18,530.1069550323487
2019-01-19,530.1069550323487
2019-01-20,530.1069550323487
2019-01-21,532.3789506340026
2019-01-22,523.3684933662414
2019-01-23,524.2790782928466
2019-01-24,523.8345037555695
2019-01-25,526.5880532741547
